
For documentation, see idn-chars.html

#*** Script: LATIN ***

# Atomic
1EC7          ; LATIN ; Decomposable # L& (ệ) LATIN SMALL LETTER E WITH CIRCUMFLEX AND DOT BELOW
1E19          ; LATIN ; Decomposable # L& (ḙ) LATIN SMALL LETTER E WITH CIRCUMFLEX BELOW
1E1B          ; LATIN ; Decomposable # L& (ḛ) LATIN SMALL LETTER E WITH TILDE BELOW
1E1F          ; LATIN ; Decomposable # L& (ḟ) LATIN SMALL LETTER F WITH DOT ABOVE
01F5          ; LATIN ; Decomposable # L& (ǵ) LATIN SMALL LETTER G WITH ACUTE
011F          ; LATIN ; Decomposable # L& (ğ) LATIN SMALL LETTER G WITH BREVE
011D          ; LATIN ; Decomposable # L& (ĝ) LATIN SMALL LETTER G WITH CIRCUMFLEX
01E7          ; LATIN ; Decomposable # L& (ǧ) LATIN SMALL LETTER G WITH CARON
0121          ; LATIN ; Decomposable # L& (ġ) LATIN SMALL LETTER G WITH DOT ABOVE
0123          ; LATIN ; Decomposable # L& (ģ) LATIN SMALL LETTER G WITH CEDILLA
1E21          ; LATIN ; Decomposable # L& (ḡ) LATIN SMALL LETTER G WITH MACRON
0125          ; LATIN ; Decomposable # L& (ĥ) LATIN SMALL LETTER H WITH CIRCUMFLEX
021F          ; LATIN ; Decomposable # L& (ȟ) LATIN SMALL LETTER H WITH CARON
1E27          ; LATIN ; Decomposable # L& (ḧ) LATIN SMALL LETTER H WITH DIAERESIS
1E23          ; LATIN ; Decomposable # L& (ḣ) LATIN SMALL LETTER H WITH DOT ABOVE
1E29          ; LATIN ; Decomposable # L& (ḩ) LATIN SMALL LETTER H WITH CEDILLA
1E25          ; LATIN ; Decomposable # L& (ḥ) LATIN SMALL LETTER H WITH DOT BELOW
1E2B          ; LATIN ; Decomposable # L& (ḫ) LATIN SMALL LETTER H WITH BREVE BELOW
1E96          ; LATIN ; Decomposable # L& (ẖ) LATIN SMALL LETTER H WITH LINE BELOW
00ED          ; LATIN ; Decomposable # L& (í) LATIN SMALL LETTER I WITH ACUTE
00EC          ; LATIN ; Decomposable # L& (ì) LATIN SMALL LETTER I WITH GRAVE
012D          ; LATIN ; Decomposable # L& (ĭ) LATIN SMALL LETTER I WITH BREVE
00EE          ; LATIN ; Decomposable # L& (î) LATIN SMALL LETTER I WITH CIRCUMFLEX
